Feature,Coefficient,Class
Nacionality_24,-0.20761377031501374,Enrolled
Nacionality_25,0.5500423221853619,Enrolled
Nacionality_26,-0.21659066659835313,Enrolled
Nacionality_32,0.036153979979152234,Enrolled
Nacionality_41,-0.2004270757024925,Enrolled
Nacionality_62,0.044797420549998676,Enrolled
Nacionality_100,0.19229353288788606,Enrolled
Nacionality_101,-0.21725183185040897,Enrolled
Nacionality_103,-0.22095463296407092,Enrolled
Nacionality_105,0.3756174261326511,Enrolled
Nacionality_108,0.17198979013746984,Enrolled
Mother's qualification_1,0.2516045094533736,Enrolled
Mother's qualification_2,0.5143777034362184,Enrolled
Mother's qualification_3,0.4141694960998174,Enrolled
Mother's qualification_4,0.4755824258692496,Enrolled
Mother's qualification_5,0.43205630869071665,Enrolled
Mother's qualification_6,-0.13191720513320326,Enrolled
Mother's qualification_9,-0.7276684181399525,Enrolled
Mother's qualification_10,-0.2220792618303991,Enrolled
Mother's qualification_11,-0.05495300604583545,Enrolled
Mother's qualification_12,-0.2166724226882409,Enrolled
Mother's qualification_14,-0.0007902471041895132,Enrolled
Mother's qualification_18,-0.06741454219307191,Enrolled
Mother's qualification_19,0.3514385129608278,Enrolled
Mother's qualification_22,-0.00786409863613249,Enrolled
Mother's qualification_26,-0.11141948361841478,Enrolled
Mother's qualification_29,-0.23719729363763822,Enrolled
Mother's qualification_30,-0.044235042372366064,Enrolled
Mother's qualification_34,-0.5478541816914857,Enrolled
Mother's qualification_35,-0.1272291775626169,Enrolled
Mother's qualification_36,-0.30776295589082653,Enrolled
Mother's qualification_37,0.18927094346224263,Enrolled
Mother's qualification_38,0.15886752533997373,Enrolled
Mother's qualification_39,0.01750121706710552,Enrolled
Mother's qualification_40,0.07691984305280994,Enrolled
Mother's qualification_41,-0.5932629759361894,Enrolled
Mother's qualification_42,-0.08225770387109496,Enrolled
Mother's qualification_43,0.6516720776061888,Enrolled
Mother's qualification_44,-0.1871227201371075,Enrolled
Father's qualification_1,0.2719328874404729,Enrolled
Father's qualification_2,0.6148092550651552,Enrolled
Father's qualification_3,0.13143463281530463,Enrolled
Father's qualification_4,-0.23754397813868566,Enrolled
Father's qualification_5,-0.5511542473731053,Enrolled
Father's qualification_6,-0.04584758399240244,Enrolled
Father's qualification_9,-0.3055660432257283,Enrolled
Father's qualification_10,-0.09646853206318046,Enrolled
Father's qualification_11,-0.3693080276896737,Enrolled
Father's qualification_12,-0.08019193793734687,Enrolled
Father's qualification_14,-0.28194933539262773,Enrolled
Father's qualification_18,-0.06741454219307191,Enrolled
Father's qualification_19,0.2388854847603346,Enrolled
Father's qualification_20,-0.014799841933674767,Enrolled
Father's qualification_22,-0.27751452673834476,Enrolled
Father's qualification_25,-0.006619971268102743,Enrolled
Father's qualification_26,-0.0005059851116779913,Enrolled
Father's qualification_27,-0.022442462721165967,Enrolled
Father's qualification_29,-0.1488734371850221,Enrolled
Father's qualification_30,0.42883261741018647,Enrolled
Father's qualification_31,-0.14344491080955804,Enrolled
Father's qualification_34,0.06871576322676884,Enrolled
Father's qualification_35,-0.1272291775626169,Enrolled
Father's qualification_36,-0.30101660833132765,Enrolled
Father's qualification_37,0.1929585345492036,Enrolled
Father's qualification_38,0.25727047784101975,Enrolled
Father's qualification_39,1.1826320443020681,Enrolled
Father's qualification_40,-0.36448079504866754,Enrolled
Father's qualification_41,0.20787314202542526,Enrolled
Father's qualification_42,-0.05628044564262585,Enrolled
Father's qualification_43,-0.21965016351258396,Enrolled
Father's qualification_44,-0.011282459014984212,Enrolled
Mother's occupation_0,-1.4700707509442688,Enrolled
Mother's occupation_1,-0.2355394993971428,Enrolled
Mother's occupation_2,-0.16421016983312775,Enrolled
Mother's occupation_3,0.025365343353624264,Enrolled
Mother's occupation_4,-0.16769857197483856,Enrolled
Mother's occupation_5,-0.26830754911868127,Enrolled
Mother's occupation_6,-0.3012792019499884,Enrolled
Mother's occupation_7,-0.14864739340076777,Enrolled
Mother's occupation_8,0.22293984819523915,Enrolled
Mother's occupation_9,-0.07100553652729107,Enrolled
Mother's occupation_10,-0.03089343748685954,Enrolled
Mother's occupation_90,-1.2201211492624011,Enrolled
Mother's occupation_99,0.3696722543355837,Enrolled
Mother's occupation_122,0.20833888550502294,Enrolled
Mother's occupation_123,-0.12161159711896904,Enrolled
Mother's occupation_131,0.26872194135282457,Enrolled
Mother's occupation_132,0.6139372588619126,Enrolled
Mother's occupation_134,0.6246900562141849,Enrolled
Mother's occupation_141,0.42722334504515574,Enrolled
Mother's occupation_143,0.13007577692653435,Enrolled
Mother's occupation_144,-0.17657134405078106,Enrolled
Mother's occupation_151,0.07136291898856313,Enrolled
Mother's occupation_152,-0.032578596027195095,Enrolled
Mother's occupation_153,-0.0904569440027446,Enrolled
Mother's occupation_171,-0.15118588557474655,Enrolled
Mother's occupation_173,0.13834814293257122,Enrolled
Mother's occupation_175,0.10011442396282981,Enrolled
Mother's occupation_191,0.6689095779877231,Enrolled
Mother's occupation_192,0.6545992765341436,Enrolled
